uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
201411948C,ACRA,QUALITY UNIVERSAL ENERGY SYSTEMS TECHNOLOGY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-25,2014-04-25,LOCAL,111,NORTH BRIDGE ROAD,21,01,PENINSULA PLAZA,179098,na,na,2015-11-25,na,46900,na,na,na,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412051D,ACRA,QUEEN ENGINEERING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-26,2014-04-26,LOCAL,12,ARUMUGAM ROAD,02,02N,LTC BUILDING B,409958,na,na,2016-10-31,2015-08-26,43909,na,na,30110,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412097Z,ACRA,QYX INTERNATIONAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-28,2014-04-28,LOCAL,7500A,BEACH ROAD,05,319,THE PLAZA,199591,na,na,2026-04-30,2025-04-28,85409,FOREX TRAINING,na,56112,FOREX TRAINING,na,3,LONSDALE INDEPENDENT,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412310E,ACRA,QUANWEI FOOD PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-29,2014-04-29,LOCAL,6001,BEACH ROAD,11,02,GOLDEN MILE TOWER,199589,na,na,2019-01-29,2017-10-11,10794,na,na,46900,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412447N,ACRA,Q BROTHERS HOLDINGS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-30,2014-04-30,LOCAL,18,SIN MING LANE,02,01,MIDVIEW CITY,573960,na,na,2025-07-31,2024-07-30,64300,na,na,70201,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412460D,ACRA,Q COMMUNICATIONS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-30,2014-04-30,LOCAL,103,JALAN RAJAH,17,53,RAJAH COURT,321103,na,na,2021-10-31,2020-04-06,70205,na,na,70201,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412594Z,ACRA,QUALITAS CONSULTING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-05-02,2014-05-02,LOCAL,125,MEYER ROAD,16,06,THE MAKENA,437936,na,na,2021-11-30,2020-10-21,71126,na,na,na,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412596C,ACRA,QUINATE VISION SINGAPORE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-05-02,2014-05-02,LOCAL,780,UPPER SERANGOON ROAD,02,11,CHOON KIM HOUSE,534649,na,na,2015-12-03,na,46900,DISTRIBUTION AND WHOLESALE OF OPTICAL DEVICES,na,na,DISTRIBUTION AND WHOLESALE OF OPTICAL DEVICES,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412641W,ACRA,QUANCHENG CONSTRUCTION & ENGINEERING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-05-02,2014-05-02,LOCAL,572A,WOODLANDS AVENUE 1,09,802,CHAMPIONS COURT,731572,na,na,2023-11-30,2022-11-29,41001,na,na,41009,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412738R,ACRA,QUANTUM LIFE.IJ PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-05-02,2014-05-02,LOCAL,10,ANSON ROAD,28,12,INTERNATIONAL PLAZA,079903,na,na,2022-11-30,2021-11-30,70201,na,na,85409,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201412958K,ACRA,QUINTALLIANCE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-05-06,2014-05-06,LOCAL,31,BEDOK SOUTH AVENUE 2,24,305,na,460031,na,na,2025-10-31,2024-10-31,70201,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
